,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual_Avg_Index,Estimated_Tuition
11,1980,68.1,68.2,68.2,68.2,68.2,68.2,68.3,68.7,75.6,76.1,76.1,76.1,70.83333333333334,1012.0975423890264
12,1981,76.4,76.5,76.6,76.6,76.6,76.6,77,77.1,84.7,85.8,85.8,85.8,79.625,1137.7167079443702
13,1982,86.8,86.9,87.2,87.4,87.4,87.5,87.9,87.9,95.4,96.5,96.5,96.5,90.32499999999999,1290.6029719946653
14,1983,96.6,96.7,96.7,96.9,96.9,96.8,97.1,97.2,104.6,105.7,105.7,105.8,99.72500000000001,1424.9142693846445
15,1984,105.9,105.9,106.8,106.9,106.9,107,107.2,107.2,115.8,116.6,116.6,116.5,109.94166666666666,1570.8944560868736
16,1985,116.5,116.6,116.6,116.7,116.7,116.8,117.1,117.2,125.5,126.4,126.5,126.5,119.92500000000001,1713.540674414174
17,1986,126.5,126.5,126.5,126.6,126.6,126.7,126.7,127,135.1,135.8,135.8,135.8,129.63333333333333,1852.2575728710226
18,1987,136.1,136.2,136.3,136.5,136.6,136.9,137.1,138.1,144,144.7,144.8,145.3,139.38333333333333,1991.5698228233944
19,1988,145.6,146.4,146.4,146.4,146.4,146.7,146.9,149.7,156,156.5,156.5,156.5,150.0,2143.265383882644
20,1989,157.5,158,158.1,158.1,158.1,157.7,158.3,161.4,168.3,169,169.2,169.1,161.9,2313.2977710040004
21,1990,169.8,170.1,170.1,170,170.1,170.5,171.6,176.2,182.2,183,183,183,174.9666666666667,2500.0
22,1991,185,185.4,185.5,185.8,185.9,186.6,187.7,191.6,204.6,205.1,205.1,205.1,192.7833333333333,2754.5722994856155
23,1992,205.8,205.8,206.4,207.4,207.5,208.4,209.1,213.5,223,224.8,224.8,225.7,213.51666666666668,3050.819203657839
24,1993,227.5,227.5,227.5,227.6,227.8,228.5,229.3,233.4,242.4,243.4,243.5,243.5,233.49166666666667,3336.2307106115445
25,1994,244,244.1,244.1,244.3,244.4,245.2,245.7,250.3,258.7,258.9,258.9,258.9,249.7916666666667,3569.132215660126
26,1995,259,259.8,259.8,259.4,259.4,259.6,260.3,266.3,273.1,273.7,273.7,273.7,264.8166666666666,3783.8159649457025
27,1996,274.2,274.6,274.6,274.9,274.8,274.8,275.5,281.5,287.8,288.3,288.3,288.3,279.8,3997.9043627357587
28,1997,289.3,289.3,289.3,289.3,289.5,289.5,290.5,295.9,301.3,301.8,301.8,301.7,294.1,4202.228995999238
29,1998,302.5,302.4,302.4,302.4,302.4,302.3,303.1,307.4,312.9,313.3,313.6,313.6,306.52500000000003,4379.762811964183
30,1999,314.1,314.5,314.5,314.5,314.5,314.1,314.9,319.5,325.5,326,326.1,326.1,318.69166666666666,4553.605448656886
31,2000,326,326.2,326.1,326.1,326.6,327.8,328.6,333.1,339.5,340.7,340.8,340.9,331.8666666666667,4741.855591541245
32,2001,340.8,341,340.9,340.9,341.4,341.7,342.7,351.9,359.9,361.1,361.8,361.9,348.8333333333333,4984.282720518193
33,2002,362.4,362.9,362.9,363,363.7,365.1,366.6,376.9,385.9,387.3,387.5,387.4,372.6333333333334,5324.3474947609075
34,2003,388.6,389.4,389.6,390,390.6,392,395.1,412.8,422.6,424.9,425.1,425.5,403.84999999999997,5770.384835206704
35,2004,428.4,428.9,429.3,429.4,430.5,431.6,433.8,447.6,460.4,461.3,462,462.2,442.1166666666666,6317.155648694988
36,2005,462.4,463,463.2,463.2,465.2,466.6,468.1,480.4,491.9,492.1,492.6,492.8,475.12500000000006,6788.793103448275
37,2006,493.5,493.5,493.5,493.8,495.2,496.4,499.7,514.3,523.9,525.4,527.2,527.2,506.9666666666665,7243.760716326916
38,2007,526.174,526.636,526.508,526.172,527.057,527.625,530.862,544.923,552.903,557.222,558.975,559.19,538.68725,7696.998237759572
39,2008,559.517,559.173,558.452,559.78,560.613,561.148,564.552,579.448,589.815,591.328,591.765,591.804,572.2829166666667,8177.027767193749
40,2009,592.071,591.782,591.115,591.571,593.848,594.178,597.671,617.211,627.302,628.981,627.294,627.061,606.6737499999999,8668.418984568487
41,2010,626.472,625.578,626.817,627.711,628.329,628.66,632.236,648.857,654.649,653.037,653.414,652.495,638.1879166666666,9118.70713469232
42,2011,654.725,655.271,655.15,654.936,656.645,656.413,662.041,683.007,691.049,690.238,691.764,691.768,670.2505833333333,9576.832491903218
43,2012,691.26,690.527,690.57,690.168,691.213,691.295,697.731,711.449,718.908,720.332,719.962,719.677,702.7576666666668,10041.307868165364
44,2013,722.477,721.998,721.916,721.857,722.134,722.695,727.001,741.147,745.701,746.81,747.794,747.746,732.4396666666667,10465.41722232806
45,2014,747.922,749.968,749.95,750.429,751.029,752.627,755.393,765.78,770.737,773.055,773.641,773.407,759.4948333333333,10851.99323680701
46,2015,775.175,775.041,775.426,776.19,776.379,778.244,781.714,791.039,799.221,800.426,800.652,800.69,785.8497500000002,11228.5637740522
47,2016,799.117,799.623,799.161,799.719,800.455,801.542,802.771,809.626,816.562,818.267,817.8,819.362,807.0004166666666,11530.773718803579
48,2017,815.911,815.947,814.019,814.222,814.19,817.117,818.581,824.932,833.581,835.999,836.506,836.546,823.12925,11761.229519908551
49,2018,833.625,832.62,828.234,828.112,828.332,831.156,835.314,847.084,853.208,858.998,859.711,859.588,841.3318333333332,12021.3159649457
50,2019,858.041,858.687,860.066,860.065,859.922,859.798,859.365,868.32,873.995,876.145,875.756,874.088,865.3539999999998,12364.55515336254
51,2020,874.769,874.821,874.617,874.234,874.153,874.774,877.356,879.662,880.234,881.128,880.819,880.584,877.2625833333335,12534.710182891979
52,2021,878.569,878.405,877.503,876.996,877.052,878.506,879.192,886.919,895.395,896.77,897.128,896.184,884.8849166666668,12643.621404076966
53,2022,895.257,895.553,895.552,895.552,895.552,898.003,899.856,911.691,914.023,915.107,915.423,916.495,904.0053333333335,12916.822251857497
54,2023,916.002,915.969,916.072,916.096,916.096,916.37,917.804,926.302,931.439,929.177,927.75,927.876,921.41275,13165.547008954083
55,2024,927.649,927.649,927.502,927.502,928.217,929.744,932.127,939.477,951.625,952.882,951.556,951.607,937.2947499999999,13392.475947799578
56,2025,948.395,948.512,949.052,949.052,949.123,950.597,954.141,,,,,,949.838857142857,13571.71161853958
